peak_name	detector	precursor	mz_start	mz_end	rt_start	rt_end
Acetic_acid_FT	FT	0	174.1220	174.1254	60	69
Acetic_acid_IT100	IT	174.13	99	101	61	69
Acetic_acid_IT115	IT	174.13	114	116	61	69
Acetic_acid_D3_FT	FT	0	177.1407	177.1443	60	67.2
Acetic_acid_D3_IT100	IT	177.14	99	101	61	69
Acetic_acid_D3_IT118	IT	177.14	117	119	61	69
Propanoic_acid_FT	FT	0	188.1372	188.1409	66	81
Propanoic_acid_IT100	IT	188.14	99	101	65	82.2
Propanoic_acid_IT129	IT	188.14	128	130	67	77
Propanoic_acid_D3_FT	FT	0	191.157	191.159	66	81
Propanoic_acid_D3_IT100	IT	191.16	99	101	65	82.2
Propanoic_acid_D3_IT132	IT	191.16	131	133	67	77
Butyric_acid_FT	FT	0	202.1530	202.1570	91	107.4
Butyric_acid_IT100	IT	202.16	99	101	92	112.2
Butyric_acid_IT143	IT	202.16	142	144	94	110.4
Butyric_acid_D3_FT	FT	0	205.1717	205.1759	91	107.4
Butyric_acid_D3_IT100	IT	205.17	99	101	92	112.2
Butyric_acid_D3_IT146	IT	205.17	145	147	94	110.4
n-Valeric_acid_FT	FT	0	216.1684	216.1728	230	262.8
n-Valeric_acid_IT100	IT	216.17	99	101	230	262.2
n-Valeric_acid_IT157	IT	216.17	156	158	231.6	262.2
n-Valeric_acid_D9_FT	FT	0	225.2248	225.2294	218	248.4
n-Valeric_acid_D9_IT100	IT	225.23	99	101	218	248
n-Valeric_acid_D9_IT165	IT	225.23	165	167	219	247.8
Valeric_acid_iso1_FT	FT	0	216.1684	216.1728	201	221.4
Valeric_acid_iso1_IT100	IT	216.17	99	101	201	221
Valeric_acid_iso1_IT157	IT	216.17	156	158	201	221
Valeric_acid_iso2_FT	FT	0	216.1684	216.1728	186	201
Valeric_acid_iso2_IT100	IT	216.17	99	101	185	201
Valeric_acid_iso2_IT157	IT	216.17	156	158	185	201
Hexanoic_acid_FT	FT	0	230.1840	230.1886	445.8	459
Hexanoic_acid_IT100	IT	230.19	99	101	440	461
Hexanoic_acid_IT171	IT	230.19	170	172	440	461
Hexanoic_acid_D3_FT	FT	0	233.2028	233.2074	442	461
Hexanoic_acid_D3_IT100	IT	233.21	99	101	440	461
Hexanoic_acid_D3_IT174	IT	233.21	173	175	440	461
